NEONsite,FluxnetSite,location,month,GPP_2001,GPP_2002,GPP_2003,GPP_2004,GPP_2005,GPP_2006,GPP_2007,GPP_2008,GPP_2009,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,NEE_2001,NEE_2002,NEE_2003,NEE_2004,NEE_2005,NEE_2006,NEE_2007,NEE_2008,NEE_2009,NEE_2010,NEE_2011,NEE_2012,NEE_2013,NEE_2014,NEE_2015,TER_2001,TER_2002,TER_2003,TER_2004,TER_2005,TER_2006,TER_2007,TER_2008,TER_2009,TER_2010,TER_2011,TER_2012,TER_2013,TER_2014,TER_2015
BART,US-xBR,Bartlett Experimental Forest NEON,9,6.243413857,5.913887366,5.442221931,5.439448996,6.122273427,4.641982866,5.986959342,4.932406307,5.338381034,4.958395373,5.049674068,4.998988058,4.93666496,5.331400726,6.015935164,-2.09421333,-1.688349333,-1.654916284,-1.581388585,-1.948599207,-1.120485788,-1.810381301,-1.299053407,-1.745192857,-1.06696977,-1.260382086,-1.508585355,-1.391816688,-1.607055618,-1.981034019,3.998624695,4.097628202,3.61522425,3.66936294,4.037621489,3.307414889,4.027691196,3.425576759,3.450362791,3.680443284,3.581272832,3.412505979,3.438051094,3.541123233,3.92898026
BART,US-xBR,Bartlett Experimental Forest NEON,10,2.141914607,1.791683759,1.854653572,1.734226616,1.74711359,1.482005896,2.051564619,1.762436465,1.337774486,1.82658736,1.897107018,1.26366532,1.715103975,1.578236544,2.224593702,0.261396496,0.215177873,0.454237583,0.406873324,0.56514463,0.576279024,0.371313414,0.441622006,0.61201174,0.353484667,0.425275349,0.686634527,0.456718498,0.643235989,0.168140655,2.24531477,1.842317467,2.139876301,1.999212065,2.201483464,1.914912049,2.297668237,2.053340771,1.791006395,2.04033577,2.191628914,1.857299856,2.036964946,2.083377906,2.227046781
BART,US-xBR,Bartlett Experimental Forest NEON,11,0.656771176,0.354905302,0.498494759,0.439911841,0.512976769,0.624872309,0.310087454,0.348994838,0.732976862,0.554938074,0.682856925,0.505126935,0.420701793,0.446044208,0.621482972,0.886903575,0.859509254,0.828611062,0.824729847,0.838251925,0.873290092,0.803088779,0.833715316,0.851374083,0.797647776,0.828809266,0.766977517,0.790604706,0.885810404,0.818840247,1.415531705,1.058626734,1.197675915,1.124305292,1.206974631,1.364619144,0.969121611,1.031295658,1.459941514,1.224922178,1.391676022,1.14625383,1.071830216,1.220608583,1.315637408
BART,US-xBR,Bartlett Experimental Forest NEON,12,0.246248572,0.120807428,0.191358042,0.097743479,0.095539546,0.349020729,0.092021801,0.14708075,0.139959108,0.125996321,0.204551859,0.167071541,0.09554502,0.165952451,0.468147951,0.808898279,0.792781202,0.804910038,0.755157618,0.769319856,0.809788059,0.755931128,0.788329205,0.770974611,0.760800676,0.746020949,0.791873369,0.723404499,0.822263598,0.828719483,0.907983145,0.735370092,0.822087407,0.681852265,0.687858119,1.033262487,0.67001846,0.761399927,0.740179616,0.721778624,0.817970428,0.792210118,0.653148608,0.809101238,1.1784263
BLAN,US-xBL,Blandy Experimental Farm NEON,1,0.291003303,0.356494382,0.292537807,0.309388111,0.347042878,0.441959562,0.417475917,0.415910573,0.308801,0.277974202,0.264598608,0.422135262,0.371452922,0.320809544,0.30228721,0.573075685,0.567284071,0.528543462,0.558028446,0.584119895,0.625703643,0.556191682,0.576054724,0.558189163,0.541293817,0.52392858,0.566307479,0.587649097,0.578302434,0.562797473,1.41E+36,0.836042573,0.729261402,0.815317501,0.865393462,1.011195835,0.87483242,0.915476957,0.774200417,0.733958965,0.679658362,0.905651162,0.888466704,0.817478119,0.763995833
BLAN,US-xBL,Blandy Experimental Farm NEON,2,0.479682896,0.466427768,0.23202745,0.342981266,0.421713855,0.453850342,0.266296856,0.454113944,0.396043158,0.197629004,0.401760231,0.507127275,0.418391804,0.306140494,0.198940616,0.56000737,0.590250327,0.575956145,0.511001768,0.532190435,0.55455876,0.455176295,0.576006316,0.554591317,0.51744206,0.567799509,0.545016266,0.564955383,0.524759159,0.500393672,0.945774967,0.98084641,0.744873942,0.796867331,0.869326389,0.915454238,0.627181999,0.950499066,0.86055176,0.677053046,0.90876014,0.977438887,0.898111256,0.74656047,0.618001061
BLAN,US-xBL,Blandy Experimental Farm NEON,3,0.632554385,0.765703229,0.786325196,0.757707842,0.643201469,0.814178477,0.771328229,0.783968078,0.67528808,0.798579723,0.871941393,1.319670342,0.674658203,0.515210773,0.561700959,0.553922194,0.566492051,0.49158581,0.52178991,0.503225428,0.4598751,0.536995207,0.476478586,0.636219688,0.503247353,0.487390118,0.361568217,0.491100208,0.615746664,0.527271406,1.145556893,1.32914823,1.259924224,1.258789769,1.091528054,1.290594919,1.274257532,1.265676016,1.322496821,1.300711201,1.368596456,1.738531994,1.091246412,1.076341863,1.056194296
BLAN,US-xBL,Blandy Experimental Farm NEON,4,2.859896794,2.813855688,2.737918247,3.244644233,2.806733282,3.078083036,2.324575047,2.840572816,2.184044346,4.275562706,2.772771749,3.903599055,2.925533748,1.789947034,2.354157972,-0.340933704,-0.259788365,-0.128481861,-0.661558963,-0.360412727,-0.519137388,0.016031537,-0.285957746,0.145802196,-1.288960297,-0.222962833,-0.93908284,-0.48602948,0.253504238,-0.094307077,2.543875116,2.563966335,2.655404325,2.551211513,2.500589661,2.608438926,2.350496932,2.593670442,2.354286599,2.983267984,2.548033417,2.909657684,2.483360921,2.084554917,2.312201238
BLAN,US-xBL,Blandy Experimental Farm NEON,5,6.670668725,7.280428268,5.647889751,8.099048087,6.738014759,6.909514915,7.371065719,6.546855035,7.119688896,6.924095909,7.281170868,6.796713077,6.927957554,6.456724897,7.483307273,-2.399658598,-3.099695119,-1.563602857,-3.11397756,-2.555044111,-2.720541478,-3.049898395,-2.519394671,-2.759953297,-2.603964995,-2.801422648,-2.582217437,-2.780106215,-2.312063806,-2.962931738,4.153477951,4.081435148,3.864744058,4.690131755,4.036475495,4.140449355,4.280154811,3.955603436,4.190113884,4.233550274,4.308722772,4.15619061,4.068096053,4.049572545,4.496775851
BLAN,US-xBL,Blandy Experimental Farm NEON,6,7.869636362,8.039252265,7.187882551,8.061694198,7.924731012,7.250112613,7.423278656,8.195024325,7.579866126,7.434998527,7.373126065,7.370303832,7.462611943,8.053868084,6.941585834,-3.334753484,-3.306961538,-2.541739214,-3.189238886,-3.204291509,-2.837943852,-2.952324122,-3.544841594,-2.984637706,-2.902442404,-2.906206075,-3.06047947,-2.766033737,-3.302516746,-2.371150238,4.566592993,4.704908904,4.534471028,4.774318857,4.704813559,4.429204949,4.475610968,4.670621785,4.576842732,4.54074328,4.481976973,4.341955841,4.637042742,4.742633451,4.555544549
