site,code,location,month,GPP_2001,GPP_2002,GPP_2003,GPP_2004,GPP_2005,GPP_2006,GPP_2007,GPP_2008,GPP_2009,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,NEE_2001,NEE_2002,NEE_2003,NEE_2004,NEE_2005,NEE_2006,NEE_2007,NEE_2008,NEE_2010,NEE_2011,NEE_2012,NEE_2013,NEE_2014,NEE_2015,TER_2001,TER_2002,TER_2003,TER_2004,TER_2005,TER_2006,TER_2007,TER_2008,TER_2009,TER_2010,TER_2011,TER_2012,TER_2013,TER_2014,TER_2015
BART,US-xBR,Bartlett Experimental Forest NEON,9,6.434126161,6.176733404,5.581549932,5.653345998,6.397922054,4.708036957,6.444100208,5.065093048,5.768500561,5.233513992,5.382805628,5.348135563,5.450956052,5.768879655,6.51000477,-2.431349783,-2.017341068,-1.922022565,-1.825863377,-2.209612009,-1.257904941,-2.245164946,-1.675015352,-1.525645451,-1.599156746,-1.90878359,-1.956563188,-2.114601518,-2.470745622,3.981583301,4.108785963,3.533789435,3.647694762,4.023815949,3.280011424,4.036056569,3.297009778,3.510984248,3.606102473,3.594462456,3.375403059,3.458467814,3.517651465,3.954272769
BART,US-xBR,Bartlett Experimental Forest NEON,10,2.05449314,1.740167409,1.747206398,1.660420283,1.72615649,1.331202107,1.92594971,1.614732118,1.273468374,1.808678819,1.731191263,1.158046213,1.598916083,1.447145624,2.247920476,0.328102523,0.243210218,0.579326098,0.47647845,0.608435116,0.753940305,0.498999151,0.597647319,0.388727949,0.473933176,0.786679164,0.597528341,0.777448108,0.089471041,2.238891193,1.817955473,2.145658552,1.989838114,2.250617059,1.907731719,2.307698366,2.069724495,1.788489757,2.083683043,2.088345513,1.846466575,2.052520042,2.060393197,2.244337304
BART,US-xBR,Bartlett Experimental Forest NEON,11,0.571649151,0.298426814,0.383345931,0.320567562,0.540441512,0.534746709,0.256576879,0.258648328,0.624314641,0.482330704,0.585858606,0.393963582,0.348438296,0.346776712,0.543351582,1.005170638,0.930921324,0.951683371,0.975456106,0.938579635,1.012213745,0.895569226,0.936837188,0.901143221,0.955096064,0.889626051,0.878306021,0.954767222,0.959124819,1.463399944,1.103102221,1.179907686,1.127892774,1.296468721,1.376389183,1.007062732,1.009094654,1.483234792,1.269494346,1.429220438,1.158321243,1.085491774,1.119801878,1.378349278
BART,US-xBR,Bartlett Experimental Forest NEON,12,0.217561669,0.135950636,0.198082569,0.064499078,0.081565354,0.323926541,0.102654482,0.189317634,0.124185691,0.131997002,0.151239961,0.149649397,0.103318265,0.155973515,0.453806131,0.906669541,0.909993195,0.921513322,0.845577236,0.891000034,0.957524834,0.858399553,0.899013002,0.866814532,0.875540543,0.888399931,0.83788399,0.917393696,0.952577114,0.992671338,0.892965988,0.945224292,0.728924004,0.790262712,1.139670749,0.793145564,0.915697577,0.842183546,0.866047024,0.872538966,0.886145549,0.784007074,0.908463236,1.30607832
BLAN,US-xBL,Blandy Experimental Farm NEON,1,0.266897264,0.347944071,0.285543826,0.267345644,0.358795892,0.436852585,0.463208383,0.434371543,0.310382652,0.25453249,0.277793519,0.46464083,0.388794082,0.338895427,0.334747044,0.542736607,0.496975304,0.444501897,0.466288725,0.506871416,0.623098981,0.466465858,0.470727715,0.476885942,0.441843696,0.457446154,0.497744618,0.506373312,0.516975911,1.41E+36,0.773843432,0.651629038,0.700850714,0.791119124,0.997935,0.857500898,0.811526021,0.710364495,0.692857294,0.628045583,0.850708178,0.819957044,0.780708884,0.768865489
BLAN,US-xBL,Blandy Experimental Farm NEON,2,0.435683085,0.389279332,0.174620369,0.333891135,0.382664385,0.43405636,0.27159013,0.501151719,0.446085392,0.16241197,0.431573927,0.621677285,0.448893017,0.292523674,0.184611379,0.532023122,0.533721428,0.559013871,0.465616187,0.470496243,0.473013897,0.278360357,0.530935295,0.446282079,0.457263346,0.378754086,0.426054424,0.425496039,0.374060194,0.871244417,0.886767942,0.639256532,0.75754072,0.765663709,0.813927139,0.523798741,0.948612194,0.811124333,0.539587223,0.852383501,0.9329427,0.815443997,0.665363273,0.507876215
BLAN,US-xBL,Blandy Experimental Farm NEON,3,0.650937272,0.826693738,0.888138674,0.813944244,0.672500232,0.93375718,0.953680198,0.898760069,0.776305815,0.998687151,1.087143446,1.900423335,0.768122007,0.525645773,0.588059258,0.459275496,0.47250879,0.390207055,0.464689603,0.467542361,0.349353613,0.470511294,0.380370139,0.401467495,0.348798463,0.032337481,0.376923194,0.540637082,0.465443359,1.056941858,1.222292654,1.246128083,1.233198082,1.038058604,1.288692545,1.36410396,1.285522307,1.354232138,1.340296192,1.39136909,1.93460528,1.086733344,1.026445097,1.045688293
BLAN,US-xBL,Blandy Experimental Farm NEON,4,3.16858727,3.064194722,3.301994994,3.69267862,3.472413065,3.548470913,2.990757598,3.329088228,2.627685386,5.004203168,3.490891243,4.668410607,3.551332751,2.282696244,3.07692864,-0.317778466,-0.25445874,-0.359606392,-0.720469781,-0.583777001,-0.636002316,-0.229561644,-0.454907679,-1.514209562,-0.46791053,-1.25852164,-0.658844237,0.1345346,-0.451727007,2.756573548,2.708593972,2.850471847,2.755516212,2.801375637,2.799990873,2.583495232,2.785675773,2.573721272,3.292253189,2.794093054,3.196882523,2.771264461,2.350994644,2.567145921
BLAN,US-xBL,Blandy Experimental Farm NEON,5,6.609429294,7.236531559,5.642051366,8.335736671,6.993578661,6.713340524,7.701563962,6.354288851,7.375055412,6.852138826,7.676990495,6.705754715,7.124292546,6.577703132,7.586324264,-2.069419299,-2.672350409,-1.333710909,-2.986501227,-2.367764523,-2.24668396,-2.808805174,-2.041280815,-2.203958922,-2.652306245,-2.202388278,-2.46583912,-2.072341423,-2.644746128,4.327130312,4.287789591,4.012253423,4.932615352,4.296643855,4.275864197,4.615643737,4.111430625,4.434380556,4.419156522,4.591486139,4.361680496,4.288426064,4.348613508,4.749122456
BLAN,US-xBL,Blandy Experimental Farm NEON,6,7.644749638,7.830860038,7.222924235,7.436832532,7.652924321,7.088887068,6.731965072,7.66172977,7.343265067,6.625803608,6.899548887,7.050315452,7.280183394,7.756062802,6.791323951,-2.779653816,-2.852773727,-2.169626267,-2.470841377,-2.704849224,-2.405681845,-2.222610313,-2.743552133,-2.149382478,-2.305160452,-2.499838083,-2.421621958,-2.740284387,-2.056339323,4.821476883,4.966834856,4.759065659,4.911700103,4.914203146,4.697749884,4.540301955,4.869032165,4.76451301,4.624026273,4.649495023,4.574677129,4.862219407,4.977355759,4.734197679
BLAN,US-xBL,Blandy Experimental Farm NEON,7,7.843839633,6.963713233,7.658234053,6.903935812,7.203155516,7.155522299,5.918055874,7.426881721,7.353040347,5.748507093,5.596985115,6.190032674,7.220634728,7.102174055,7.136745422,-2.852201551,-2.211334157,-2.598526403,-2.21382066,-2.383311423,-2.338318903,-1.559051661,-2.540988052,-1.18928143,-1.17124266,-1.738717143,-2.307143627,-2.429269254,-2.259085428,4.90311063,4.833808156,4.944184889,4.820874697,4.868623178,4.90060164,4.456218175,4.838131114,4.765207549,4.505611033,4.435422843,4.60460173,4.959243535,4.709172264,4.875239282
BLAN,US-xBL,Blandy Experimental Farm NEON,8,6.619206772,5.503102503,6.509825822,5.285542998,6.263767215,5.302724982,5.646587704,6.154344018,6.15290273,4.667482535,3.89590196,5.5884508,5.708190695,6.081244695,5.894533745,-1.967358016,-1.230130959,-1.845619167,-1.166326799,-1.719148769,-1.106623858,-1.243367741,-1.648038809,-0.60647192,-0.175504328,-1.325277615,-1.423930043,-1.6771924,-1.565763998,4.670470402,4.394547138,4.751016199,4.203481735,4.580240478,4.231568159,4.423511787,4.448285865,4.475332813,4.169015697,3.766360483,4.294633493,4.252537714,4.391178142,4.373268737
BLAN,US-xBL,Blandy Experimental Farm NEON,9,4.570152894,4.16298014,4.737869972,3.781587026,4.44454033,4.6314307,4.941113095,4.441684898,3.386530931,3.276789738,4.030280918,3.714079869,3.667910262,4.213356285,3.619322624,-0.897813397,-0.56079005,-0.839122926,-0.326101655,-0.770755696,-0.786862248,-0.909356418,-0.651248097,-0.116565805,-0.367990194,-0.352947371,-0.417330905,-0.636308549,-0.192372222,3.601393786,3.6492315,3.75829381,3.471097495,3.718184672,3.758138697,3.949674172,3.714834804,3.360980516,3.315897345,3.654663764,3.408956288,3.345580271,3.61539357,3.463256221
